status_code,sub_code,sub_code_type,korean_status_name,korean_subcode_name,manual_source_file,section_title,page_reference,procedure_types_found,required_documents_listed,extraction_status,notes
C-3,D-3-1,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-3,G-1-10,explicit_code,단기방문,,visa_manual_2026_05.pdf,단기방문,27-50,change_of_status;extension;reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-4,,see_subrows,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,yes,EXTRACTED,5 subcode mentions; 7 doc blocks
C-4,C-4-1,explicit_code,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-4,C-4-2,explicit_code,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-4,C-4-3,explicit_code,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-4,C-4-4,explicit_code,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
C-4,C-4-5,explicit_code,단기취업,,visa_manual_2026_05.pdf,단기취업,51-59,activity_outside_status;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-1,,see_subrows,문화예술,,visa_manual_2026_05.pdf,문화예술,60-61,visa_issuance,yes,EXTRACTED,1 subcode mentions; 2 doc blocks
D-1,C-3-1,explicit_code,문화예술,,visa_manual_2026_05.pdf,문화예술,60-61,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,,see_subrows,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,yes,EXTRACTED,10 subcode mentions; 3 doc blocks
D-2,D-2-1,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-2,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-3,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-4,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-5,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-6,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-7,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-2-8,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-4-1,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-2,D-4-7,explicit_code,유학,,visa_manual_2026_05.pdf,유학,62-69,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-3,,see_subrows,기술연수,,visa_manual_2026_05.pdf,기술연수,70-72,reporting_duty;visa_issuance,yes,EXTRACTED,1 subcode mentions; 1 doc blocks
D-3,D-3-1,explicit_code,기술연수,,visa_manual_2026_05.pdf,기술연수,70-72,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,,see_subrows,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,yes,EXTRACTED,8 subcode mentions; 8 doc blocks
D-4,C-3-1,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-1,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-2K,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-3,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-5,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-6,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,D-4-7,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-4,E-7-1,explicit_code,일반연수,,visa_manual_2026_05.pdf,일반연수,73-87,change_of_status;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-5,,none_found,취재,,visa_manual_2026_05.pdf,취재,88-89,visa_issuance,yes,EXTRACTED,0 subcode mentions; 2 doc blocks
D-6,,none_found,종교,,visa_manual_2026_05.pdf,종교,90-91,visa_issuance,yes,EXTRACTED,0 subcode mentions; 2 doc blocks
D-7,,none_found,주재,,visa_manual_2026_05.pdf,주재,92-101,reporting_duty;visa_issuance,yes,EXTRACTED,0 subcode mentions; 9 doc blocks
D-8,,see_subrows,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,yes,EXTRACTED,6 subcode mentions; 13 doc blocks
D-8,C-3-4,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-8,D-8-1,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-8,D-8-2,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-8,D-8-3,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-8,D-8-4,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-8,D-8-4S,explicit_code,기업투자,,visa_manual_2026_05.pdf,기업투자,102-115,change_of_status;extension;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-9,,see_subrows,무역경영,,visa_manual_2026_05.pdf,무역경영,116-121,reporting_duty;visa_issuance,yes,EXTRACTED,1 subcode mentions; 6 doc blocks
D-9,C-3-4,explicit_code,무역경영,,visa_manual_2026_05.pdf,무역경영,116-121,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,,see_subrows,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,no,PARTIAL,10 subcode mentions; 0 doc blocks
D-10,D-10-1,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-10-2,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-10-3,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-10-T,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-2-5,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-2-6,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-4-1,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-4-2,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,D-4-6,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
D-10,E-6-2,explicit_code,구직,,visa_manual_2026_05.pdf,구직,122-135,change_of_status;extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-1,,see_subrows,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,yes,EXTRACTED,5 subcode mentions; 4 doc blocks
E-1,C-3-1,explicit_code,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-1,C-3-2,explicit_code,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-1,C-3-3,explicit_code,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-1,C-3-4,explicit_code,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-1,G-1-10,explicit_code,교수,,visa_manual_2026_05.pdf,교수,136-141,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-2,,see_subrows,회화지도,,visa_manual_2026_05.pdf,회화지도,142-149,reentry;registration;reporting_duty;visa_issuance,yes,EXTRACTED,3 subcode mentions; 2 doc blocks
E-2,E-2-1,explicit_code,회화지도,,visa_manual_2026_05.pdf,회화지도,142-149,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-2,E-2-2,explicit_code,회화지도,,visa_manual_2026_05.pdf,회화지도,142-149,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-2,E-6-2,explicit_code,회화지도,,visa_manual_2026_05.pdf,회화지도,142-149,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-3,,see_subrows,연구,,visa_manual_2026_05.pdf,연구,150-156,extension;visa_issuance,yes,EXTRACTED,4 subcode mentions; 7 doc blocks
E-3,C-3-2,explicit_code,연구,,visa_manual_2026_05.pdf,연구,150-156,extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-3,C-3-3,explicit_code,연구,,visa_manual_2026_05.pdf,연구,150-156,extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-3,C-3-4,explicit_code,연구,,visa_manual_2026_05.pdf,연구,150-156,extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-3,G-1-10,explicit_code,연구,,visa_manual_2026_05.pdf,연구,150-156,extension;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-4,,see_subrows,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,yes,EXTRACTED,5 subcode mentions; 3 doc blocks
E-4,C-3-1,explicit_code,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-4,C-3-2,explicit_code,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-4,C-3-3,explicit_code,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-4,C-3-4,explicit_code,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-4,G-1-10,explicit_code,기술지도,,visa_manual_2026_05.pdf,기술지도,157-161,reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-5,,none_found,전문직업,,visa_manual_2026_05.pdf,전문직업,162-162,visa_issuance,yes,EXTRACTED,0 subcode mentions; 1 doc blocks
E-6,,see_subrows,예술흥행,,visa_manual_2026_05.pdf,예술흥행,163-167,visa_issuance,yes,EXTRACTED,4 subcode mentions; 1 doc blocks
E-6,C-4-5,explicit_code,예술흥행,,visa_manual_2026_05.pdf,예술흥행,163-167,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-6,E-6-1,explicit_code,예술흥행,,visa_manual_2026_05.pdf,예술흥행,163-167,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-6,E-6-2,explicit_code,예술흥행,,visa_manual_2026_05.pdf,예술흥행,163-167,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-6,E-6-3,explicit_code,예술흥행,,visa_manual_2026_05.pdf,예술흥행,163-167,visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,,see_subrows,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,yes,EXTRACTED,17 subcode mentions; 17 doc blocks
E-7,C-4-5,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,D-10-3,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,D-2-7,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,D-4-1,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,D-4-6,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-1,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-2,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-3,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-4,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-91,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-S,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-S1,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-S2,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-T,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,E-7-Y,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,F-2-7,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-7,F-5-16,explicit_code,특정활동,,visa_manual_2026_05.pdf,특정활동,168-277,activity_outside_status;change_of_status;extension;reentry;registration;reporting_duty;status_grant;visa_issuance;workplace_change_or_addition,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,,see_subrows,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,yes,EXTRACTED,11 subcode mentions; 1 doc blocks
E-8,C-4-1,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-1,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-2,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-3,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-4,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-5,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-6,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-7,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-8,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,E-8-99,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-8,G-1-19,explicit_code,계절근로,,visa_manual_2026_05.pdf,계절근로,278-283,reentry;registration;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,,see_subrows,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,yes,EXTRACTED,7 subcode mentions; 1 doc blocks
E-9,E-9-1,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,E-9-10,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,E-9-2,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,E-9-3,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,E-9-4,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
E-9,E-9-5,explicit_code,비전문취업,,visa_manual_2026_05.pdf,비전문취업,284-293,reentry;registration;reporting_duty;visa_issuance,unclear,PARTIAL,sub-code mentioned in section; per-sub doc list needs review
