manual,sub_code,pdf_mentions,hwp_mentions,source_agreement
visa,F-5-15,1,1,both
visa,F-5-16,1,1,both
visa,F-5-18,1,1,both
visa,F-5-3,1,1,both
visa,F-5-5,1,1,both
visa,F-5-6,3,3,both
visa,F-5-7,6,6,both
visa,F-5-9,1,1,both
visa,F-5-S1,7,7,both
visa,F-5-S2,3,3,both
visa,F-5-T,2,2,both
visa,F-6-1,2,2,both
visa,F-6-2,2,2,both
visa,F-6-3,1,1,both
visa,G-1-10,6,6,both
visa,G-1-19,2,2,both
visa,H-2-7,1,1,both
stay,A-3-99,1,1,both
stay,C-3-1,2,2,both
stay,C-3-10,1,1,both
stay,C-3-2,7,7,both
stay,C-3-3,3,3,both
stay,C-3-4,8,8,both
stay,C-3-5,1,1,both
stay,C-3-6,1,1,both
stay,C-3-7,1,1,both
stay,C-3-8,10,10,both
stay,C-3-9,2,2,both
stay,C-4-1,3,3,both
stay,C-4-5,15,15,both
stay,D-10-1,28,28,both
stay,D-10-2,11,11,both
stay,D-10-3,16,16,both
stay,D-10-T,10,10,both
stay,D-2-1,7,7,both
stay,D-2-2,2,2,both
stay,D-2-3,3,3,both
stay,D-2-4,7,7,both
stay,D-2-5,11,11,both
stay,D-2-6,6,6,both
stay,D-2-7,7,7,both
stay,D-2-8,3,3,both
stay,D-3-1,3,3,both
stay,D-3-11,2,2,both
stay,D-3-12,1,1,both
stay,D-3-13,1,1,both
stay,D-4-1,13,13,both
stay,D-4-2,5,5,both
stay,D-4-2K,3,3,both
stay,D-4-3,5,5,both
stay,D-4-5,1,1,both
stay,D-4-6,11,11,both
stay,D-4-7,6,6,both
stay,D-8-1,8,8,both
stay,D-8-2,8,8,both
stay,D-8-3,7,7,both
stay,D-8-4,17,17,both
stay,D-8-4S,1,1,both
stay,D-9-1,4,5,both
stay,D-9-4,1,1,both
stay,D-9-5,1,1,both
stay,E-10-1,3,3,both
stay,E-10-2,5,5,both
stay,E-10-3,3,3,both
stay,E-6-1,4,4,both
stay,E-6-2,18,18,both
stay,E-6-3,2,2,both
stay,E-7-1,12,12,both
stay,E-7-2,6,6,both
stay,E-7-3,13,13,both
stay,E-7-4,52,52,both
stay,E-7-4R,35,35,both
stay,E-7-91,1,1,both
stay,E-7-H,1,1,both
stay,E-7-S,6,6,both
stay,E-7-S1,2,2,both
stay,E-7-S2,3,3,both
stay,E-7-T,5,5,both
stay,E-7-Y,12,12,both
stay,E-9-1,2,2,both
stay,E-9-3,1,1,both
stay,F-1-1,1,1,both
stay,F-1-11,1,1,both
stay,F-1-12,8,9,both
stay,F-1-13,2,2,both
stay,F-1-16,2,2,both
stay,F-1-28,2,2,both
stay,F-1-5,8,8,both
stay,F-1-51,1,1,both
stay,F-1-52,4,4,both
stay,F-1-6,6,6,both
stay,F-1-72,1,1,both
stay,F-1-D,2,2,both
stay,F-2-1,2,2,both
stay,F-2-10,2,2,both
stay,F-2-12,2,2,both
stay,F-2-13,1,1,both
stay,F-2-16,1,1,both
stay,F-2-2,6,6,both
stay,F-2-3,4,4,both
stay,F-2-4,1,1,both
stay,F-2-5,1,1,both
stay,F-2-6,3,3,both
stay,F-2-7,42,42,both
stay,F-2-71,23,23,both
stay,F-2-7S,17,17,both
stay,F-2-8,4,4,both
stay,F-2-81,2,2,both
stay,F-2-99,32,33,both
stay,F-2-R,37,37,both
stay,F-2-T,2,2,both
stay,F-3-18,9,9,both
stay,F-3-19,1,1,both
stay,F-3-1R,4,4,both
stay,F-3-20,1,1,both
stay,F-3-2R,9,9,both
stay,F-3-3R,6,6,both
stay,F-4-41,2,2,both
stay,F-4-42,2,2,both
stay,F-4-R,29,29,both
stay,F-5-1,20,10,both
stay,F-5-10,6,7,both
stay,F-5-11,9,10,both
stay,F-5-12,8,9,both
stay,F-5-13,9,10,both
stay,F-5-14,6,7,both
stay,F-5-15,9,10,both
stay,F-5-16,18,19,both
stay,F-5-17,21,22,both
stay,F-5-18,9,10,both
stay,F-5-19,10,11,both
stay,F-5-2,14,6,both
stay,F-5-20,7,8,both
stay,F-5-21,16,17,both
stay,F-5-22,8,9,both
stay,F-5-23,12,13,both
stay,F-5-24,6,7,both
stay,F-5-25,7,8,both
stay,F-5-26,5,6,both
stay,F-5-27,0,1,hwp_only
stay,F-5-3,5,5,both
stay,F-5-4,5,5,both
stay,F-5-5,10,10,both
stay,F-5-6,6,6,both
stay,F-5-6R,1,1,both
stay,F-5-7,8,8,both
stay,F-5-8,7,7,both
stay,F-5-9,10,10,both
stay,F-5-S1,7,7,both
stay,F-5-S2,3,3,both
stay,F-5-T,2,2,both
stay,F-6-1,26,25,both
stay,F-6-2,14,14,both
stay,F-6-3,13,13,both
stay,G-1-1,1,1,both
stay,G-1-10,4,4,both
stay,G-1-11,2,2,both
stay,G-1-12,4,4,both
stay,G-1-2,1,1,both
stay,G-1-3,2,2,both
stay,G-1-4,3,3,both
stay,G-1-5,18,18,both
stay,G-1-6,6,6,both
stay,G-1-7,1,1,both
stay,G-1-8,2,2,both
stay,G-1-9,1,1,both
stay,G-1-99,5,5,both
stay,H-2-7,1,1,both
